total_pkts,target_pkts,pkt_ratio,avg_pkt_size,unique_MACs,mean_IAT_us,IAT_variance
199,119,0.598,372.7,7,4983.7,64896606.2
110,20,0.182,169.0,6,9151.6,189159686.0
113,71,0.628,415.3,4,8908.2,166640314.2
1065,1006,0.945,170.1,6,923.5,10573439.5
481,280,0.582,231.2,7,2079.6,27388258.7
485,295,0.608,163.8,6,2044.1,13633918.4
433,250,0.577,250.3,5,2303.9,27140122.2
285,205,0.719,255.3,5,3506.4,52690152.4
456,274,0.601,234.2,7,2180.5,19372873.6
297,251,0.845,248.8,5,3326.7,40201059.3
193,161,0.834,245.2,6,5140.0,144699451.5
394,205,0.520,201.9,5,2533.3,20319067.2
411,160,0.389,184.7,6,2397.4,30479359.4
274,39,0.142,223.1,7,3608.2,30258085.5
240,40,0.167,218.4,7,4028.3,60274882.9
326,55,0.169,300.4,5,3053.5,18269580.3
286,2,0.007,207.7,7,3423.3,59100027.2
47,18,0.383,193.2,7,21198.5,773888907.3
75,38,0.507,174.6,6,13405.3,316759533.7
52,7,0.135,151.8,6,18678.0,531042903.4
41,14,0.341,155.3,6,23585.8,628876824.7
284,133,0.468,135.9,7,3521.1,28457486.4
92,8,0.087,86.9,7,10089.6,260186915.6
79,6,0.076,322.9,7,12056.6,309029814.0
151,7,0.046,130.0,6,6431.6,122080139.1
140,79,0.564,124.4,6,7143.5,346777500.0
117,76,0.650,66.6,5,7969.4,279227971.9
212,90,0.425,96.2,7,4698.1,35340207.0
155,20,0.129,156.4,7,6403.5,97675262.3
218,4,0.018,212.3,7,4450.4,63963615.1
162,11,0.068,358.8,7,6130.4,123855899.6
296,35,0.118,182.8,6,3352.3,18737524.3
248,41,0.165,156.6,7,3837.9,122383579.6
93,41,0.441,227.7,7,10588.9,276028293.9
223,86,0.386,373.3,7,4453.3,47410287.7
165,60,0.364,210.2,7,6071.3,75112623.4
206,47,0.228,259.5,7,4760.0,54008010.3
295,9,0.031,175.0,7,3400.2,27151108.2
195,7,0.036,196.7,9,5102.6,60249849.8
163,2,0.012,229.8,7,6158.3,141788063.9
236,22,0.093,192.5,7,3942.5,88016624.0
34,6,0.176,121.4,6,27926.9,1155620245.0
34,2,0.059,138.3,5,27926.9,1242255156.3
193,2,0.010,120.9,5,5047.9,31863376.5
159,35,0.220,175.9,7,6285.6,109166329.8
153,38,0.248,90.0,5,6396.8,69023043.0
69,2,0.029,83.9,7,13545.2,512026236.4
123,3,0.024,70.3,5,7455.6,135018573.6
72,33,0.458,257.8,5,13570.1,416922696.7
53,23,0.434,359.3,6,18491.8,746071877.2
75,35,0.467,148.9,7,12732.1,545588352.3
43,27,0.628,108.1,5,23303.5,775530157.4
27,5,0.185,132.7,6,31507.5,1019512878.2
116,22,0.190,108.4,4,8417.8,308956147.9
107,19,0.178,167.2,5,9114.7,264595506.0
31,2,0.065,130.4,6,30769.9,799621392.5
33,8,0.242,110.4,5,25600.0,1109794310.5
48,11,0.229,117.8,6,20149.3,573428781.9
59,36,0.610,249.8,4,15893.7,802590678.2
144,23,0.160,154.8,6,6611.0,69052581.8
109,52,0.477,481.7,6,8995.6,230893298.5
126,16,0.127,63.9,6,7669.8,146519946.8
110,24,0.218,66.8,6,8730.7,231620954.6
119,14,0.118,71.9,4,8224.7,22037593.3
85,33,0.388,69.2,7,10641.4,298598363.9
26,1,0.038,172.6,6,39890.6,1317109870.0
54,4,0.074,167.2,8,17926.0,759569125.7
57,13,0.228,120.0,4,16457.3,760928819.3
32,15,0.469,131.6,5,31581.7,1472448965.8
145,10,0.069,79.1,7,6617.1,115909599.2
145,89,0.614,152.9,8,6854.0,128239053.0
52,8,0.154,113.0,7,18494.5,808420548.8
39,2,0.051,118.4,8,25780.9,910195191.5
20,4,0.200,164.9,5,47827.7,1483332267.5
39,8,0.205,110.6,7,25813.4,734470516.3
121,18,0.149,159.2,7,7929.3,108940076.6
120,40,0.333,74.2,7,8249.2,134047105.0
138,30,0.217,72.2,7,7192.2,103158237.8
69,9,0.130,84.4,5,13585.0,420176921.9
218,6,0.028,60.4,6,4416.1,72839829.1
45,5,0.111,118.8,5,22181.2,591495589.5
15,1,0.067,244.8,5,60588.7,1459700419.9
59,1,0.017,124.7,7,16806.9,452556748.9
44,0,0.000,111.0,5,22447.1,1016033337.9
54,10,0.185,101.9,7,18491.0,389251017.2
156,16,0.103,65.4,5,6343.8,188211654.3
62,9,0.145,94.3,5,15565.5,788770611.8
23,0,0.000,239.3,4,42608.3,1106924138.9
101,17,0.168,177.7,7,9525.0,444978051.3
90,0,0.000,105.0,5,10667.5,480362625.8
98,42,0.429,106.5,8,9376.6,227202923.3
221,5,0.023,90.0,6,4538.8,23181419.0
211,12,0.057,183.1,5,4725.5,71838464.3
167,5,0.030,143.8,5,6019.4,100423740.3
78,2,0.026,117.7,8,12736.3,470530766.3
130,5,0.038,80.1,5,7667.3,20452698.6
63,27,0.429,105.7,5,15648.8,488210717.1
30,7,0.233,255.0,4,32760.6,1232953937.7
78,1,0.013,69.7,7,11959.5,774500763.1
27,12,0.444,168.6,5,35233.9,720529194.9
48,31,0.646,103.0,6,19663.1,648872731.4
146,33,0.226,70.7,4,6502.2,100141736.8
53,3,0.057,97.9,3,17708.6,1087054304.5
28,0,0.000,164.1,5,32638.2,1324653826.5
46,6,0.130,132.4,4,20506.8,413510756.3
139,51,0.367,149.0,7,7163.5,170720677.6
58,19,0.328,100.2,7,17183.8,523439938.4
136,2,0.015,74.5,6,7355.8,82952180.5
106,36,0.340,130.9,5,9504.3,207352808.5
204,2,0.010,101.3,7,4891.9,35038380.6
135,20,0.148,80.5,7,7271.5,238295874.1
165,16,0.097,67.2,6,6061.5,111286676.8
54,14,0.259,102.9,6,18629.8,572204250.4
28,10,0.357,159.2,5,35947.4,1362577549.5
57,13,0.228,180.1,6,17246.9,658284269.4
13,0,0.000,249.8,3,77005.7,1119654724.8
23,10,0.435,156.4,4,37591.5,1704149478.5
123,31,0.252,77.1,4,7553.6,253099768.6
126,15,0.119,68.6,6,7375.1,287405330.2
34,4,0.118,171.5,5,28122.6,1299708860.4
128,7,0.055,147.4,6,7358.5,222532481.9
48,30,0.625,470.3,5,21027.6,1009673139.0
122,89,0.730,254.0,4,7833.6,220411225.0
267,7,0.026,196.9,6,3598.2,67540962.8
104,17,0.163,104.1,5,9109.7,170165527.0
207,2,0.010,85.8,5,4785.7,188841369.8
191,86,0.450,80.9,4,5170.8,133209633.0
254,16,0.063,228.0,6,3857.2,29590571.3
75,31,0.413,77.4,4,13030.6,686574405.6
15,4,0.267,220.5,3,65918.5,2181503105.3
35,5,0.143,213.1,4,24244.7,1135531246.9
44,29,0.659,95.6,4,21879.9,793420835.9
49,20,0.408,159.8,5,19199.4,976099842.8
126,13,0.103,79.2,6,7846.1,160514757.3
117,21,0.179,88.4,4,8560.9,386627583.8
137,47,0.343,171.6,7,7218.0,266951765.4
297,31,0.104,70.5,6,3244.7,113757195.4
186,0,0.000,122.8,5,4909.7,129619112.5
55,1,0.018,89.7,8,17030.7,956067670.8
171,0,0.000,75.6,5,5643.3,88203932.2
119,38,0.319,83.6,5,8284.5,134802542.5
178,31,0.174,63.0,6,5395.6,91981095.6
107,36,0.336,123.2,8,9295.9,247134582.9
138,0,0.000,69.0,6,7032.7,273211013.9
58,1,0.017,96.8,6,17195.8,697689188.4
48,0,0.000,101.3,5,20760.1,992135136.3
28,4,0.143,116.1,5,36958.8,1581598392.9
17,0,0.000,180.5,2,56992.9,2067824452.1
78,8,0.103,135.9,6,12389.4,552338740.3
193,26,0.135,80.6,5,5085.7,84824626.5
121,28,0.231,109.8,5,8314.4,330934176.4
66,6,0.091,96.7,6,14772.8,455784731.5
30,12,0.400,141.1,4,32900.4,979678624.9
34,4,0.118,305.9,3,27931.8,1267958202.5
14,5,0.357,217.4,2,63012.2,1520698802.4
106,2,0.019,83.0,5,9395.0,58829136.7
85,29,0.341,91.5,4,11276.0,262730689.8
124,7,0.056,75.3,4,7787.3,227242895.2
69,1,0.014,84.1,5,13163.8,474413529.5
162,0,0.000,69.9,5,6119.3,214614567.0
54,1,0.019,120.4,6,17469.8,838756888.1
97,3,0.031,68.5,5,9603.1,466549116.4
27,16,0.593,144.6,3,35457.5,1662845343.4
13,4,0.308,236.2,2,73248.6,1171414415.2
21,6,0.286,189.3,4,48265.9,1444155926.8
261,28,0.107,301.0,6,3698.3,33094469.4
85,22,0.259,80.4,5,11795.0,611565077.7
13,0,0.000,266.8,3,71342.6,1738016812.8
43,28,0.651,220.7,4,23485.0,819091020.0
25,1,0.040,148.8,5,40485.6,1446045728.1
67,13,0.194,84.2,6,13930.6,505015054.1
117,8,0.068,72.7,5,8014.3,98861555.7
101,3,0.030,82.7,8,9285.6,115547163.9
206,42,0.204,112.6,7,4716.3,67710231.6
114,47,0.412,68.6,6,8746.7,221852269.8
115,3,0.026,70.6,5,7988.7,490136184.5
147,40,0.272,87.0,7,6746.8,186325196.3
33,19,0.576,137.2,5,28799.8,982913045.2
43,1,0.023,113.9,6,22186.2,1007249785.1
25,0,0.000,184.7,5,41259.7,793293384.1
34,18,0.529,279.5,5,27145.1,1111379279.7
117,18,0.154,102.4,7,8552.4,206783261.9
120,49,0.408,168.6,6,8085.8,157755256.0
41,8,0.195,133.8,6,24286.9,847562327.5
85,1,0.012,101.5,5,11223.7,434505605.0
30,0,0.000,146.3,5,33121.5,1102651239.8
31,1,0.032,166.5,6,31952.8,1040756302.7
168,0,0.000,75.7,5,5968.3,35988817.7
146,14,0.096,69.4,6,6503.9,123351837.3
149,6,0.040,70.9,5,6436.0,136913676.2
72,1,0.014,108.5,7,13274.5,466165367.1
181,0,0.000,60.3,7,5240.6,201212801.8
61,2,0.033,93.4,6,15517.8,778649375.7
25,1,0.040,224.1,5,39808.8,1093324723.5
31,5,0.161,178.5,5,32320.0,1318500464.9
24,0,0.000,214.8,3,40822.2,1690289420.5
34,21,0.618,488.6,3,28972.0,1345814242.5
115,24,0.209,72.9,4,7866.3,190444106.3
75,15,0.200,97.0,6,13411.4,553400311.0
28,1,0.036,133.8,4,35165.1,1674127148.8
49,8,0.163,114.4,6,20428.5,786468807.9
42,11,0.262,126.9,6,23020.7,1091503441.5
60,9,0.150,108.3,5,16633.9,634887083.2
108,4,0.037,75.8,5,9288.8,108698683.2
82,10,0.122,89.6,5,12034.9,382885533.8
106,0,0.000,76.6,4,8708.5,231430603.5
59,1,0.017,99.7,5,17147.1,1090543553.4
137,0,0.000,64.4,4,6979.1,240374952.1
92,4,0.043,80.5,7,10613.2,363164373.5
42,1,0.024,195.9,6,21369.0,932184819.9
77,1,0.013,64.2,7,13131.8,806251324.7
47,0,0.000,172.8,6,20498.5,947681510.3
76,40,0.526,118.4,6,12287.7,375332596.0
137,21,0.153,72.4,5,7208.3,174041880.9
167,78,0.467,87.0,5,5501.3,163645046.5
60,34,0.567,98.0,6,15558.2,579279141.7
97,38,0.392,159.4,7,10266.3,323833505.5
89,46,0.517,198.2,5,11153.4,486128632.4
83,12,0.145,83.5,8,11930.5,508156454.8
151,3,0.020,78.8,6,6600.5,52523254.0
121,3,0.025,83.2,10,8169.4,52394959.6
147,3,0.020,65.5,8,6833.4,83284540.4
90,12,0.133,91.2,5,11166.0,349427114.4
204,3,0.015,177.8,6,4774.5,143297605.2
257,16,0.062,161.3,9,3856.8,74543345.3
99,18,0.182,336.8,4,10169.0,330081349.0
129,15,0.116,170.5,5,7471.6,217691550.2
155,18,0.116,260.5,7,6278.9,212898055.5
188,35,0.186,193.7,7,5304.4,117619378.5
357,19,0.053,340.4,7,2795.3,16133912.3
130,10,0.077,223.8,8,7635.0,203893606.6
64,0,0.000,371.8,6,14486.6,632219852.6
242,5,0.021,408.4,9,4059.5,130087677.0
86,3,0.035,218.2,9,11028.6,193510953.4
96,26,0.271,117.8,9,10201.9,175073851.4
150,0,0.000,77.3,7,6381.9,47102549.0
145,28,0.193,89.3,6,6826.5,113323805.5
178,31,0.174,114.6,8,5565.4,57138548.2
108,2,0.019,76.7,7,9047.7,278014791.0
118,0,0.000,72.3,6,7075.8,179443693.0
17,2,0.118,203.8,4,57598.4,1593650307.7
15,0,0.000,234.9,4,65827.1,1516053451.5
31,8,0.258,272.8,6,31170.8,1437826520.1
104,38,0.365,112.7,5,8710.4,314501281.6
91,1,0.011,73.7,6,10971.3,431335657.7
212,10,0.047,62.6,7,4715.9,38026984.4
83,27,0.325,126.0,6,11701.1,527303785.1
36,1,0.028,141.5,4,26378.6,879433703.8
56,36,0.643,112.6,6,17457.4,504633156.8
114,7,0.061,133.8,5,8719.8,659645077.8
138,22,0.159,121.9,4,6981.3,389744464.7
150,47,0.313,126.6,6,6677.5,97977453.4
163,39,0.239,64.5,7,5766.7,104079453.6
143,12,0.084,72.2,6,6887.8,213814601.1
54,4,0.074,95.4,5,17734.7,574851984.5
95,0,0.000,63.4,5,9810.4,452353587.9
38,22,0.579,93.6,6,23731.3,804504445.6
65,49,0.754,141.0,6,14618.0,566442855.3
53,18,0.340,133.3,8,17723.0,392098962.9
40,0,0.000,155.2,6,23714.3,887434795.5
186,38,0.204,103.9,8,4991.9,194889553.4
357,25,0.070,182.3,6,2779.6,19392119.6
